epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247296,0,90.9424,0,0.00162,0.04491,0.00088,0.00025,3.98681,14.0486,12.4045,0.000552509,0.000552509,0.000552509
2,253798,0,43.2197,0,0.00145,0.03654,0.00078,0.00022,3.60627,4.67991,3.14289,0.00108623,0.00108623,0.00108623
3,255704,0,10.4151,0,0.00485,0.00999,0.00248,0.00056,3.76385,7.35133,14.0321,0.00159795,0.00159795,0.00159795
4,257773,0,1.19976,0,0.00485,0.00999,0.00248,0.00056,3.87625,6.86648,2.95418,0.00156798,0.00156798,0.00156798
5,260167,0,0.04779,0,0.00485,0.00999,0.00248,0.00056,3.7292,8.19149,3.12139,0.00153497,0.00153497,0.00153497
6,262707,0,0.00192,0,0.00485,0.00999,0.00248,0.00056,3.66426,8.52094,3.04598,0.00150197,0.00150197,0.00150197
7,264274,0,0,0,0.00485,0.00999,0.00248,0.00056,3.682,8.77029,3.07781,0.00146896,0.00146896,0.00146896
8,265946,0,0,0,0.00485,0.00999,0.00248,0.00056,3.69162,8.91805,3.10376,0.00143595,0.00143595,0.00143595
9,267578,0,0,0,0.00485,0.00999,0.00248,0.00056,3.71108,9.07953,3.1659,0.00140295,0.00140295,0.00140295
10,269208,0,0,0,0.00485,0.00999,0.00248,0.00056,3.70603,9.16725,3.16814,0.00136994,0.00136994,0.00136994
11,270789,0,0,0,0.00485,0.00999,0.00248,0.00056,3.72612,9.25975,3.20233,0.00133693,0.00133693,0.00133693
12,272390,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73498,9.33532,3.20691,0.00130393,0.00130393,0.00130393
13,273959,0,0,0,0.00485,0.00999,0.00248,0.00056,3.75463,9.38242,3.20372,0.00127092,0.00127092,0.00127092
14,275564,0,0,0,0.00485,0.00999,0.00248,0.00056,3.71598,9.37826,3.17184,0.00123791,0.00123791,0.00123791
15,277053,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73049,9.48945,3.14659,0.00120491,0.00120491,0.00120491
16,278552,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73651,9.51889,3.13535,0.0011719,0.0011719,0.0011719
17,280084,0,0,0,0.00485,0.00999,0.00248,0.00056,3.69933,9.59108,3.15988,0.00113889,0.00113889,0.00113889
18,281591,0,0,0,0.00485,0.00999,0.00248,0.00056,3.70623,9.63564,3.1605,0.00110589,0.00110589,0.00110589
19,283167,0,0,0,0.00485,0.00999,0.00248,0.00056,3.69189,9.68847,3.16624,0.00107288,0.00107288,0.00107288
20,284812,0,0,0,0.00485,0.00999,0.00248,0.00056,3.67321,9.73741,3.17169,0.00103987,0.00103987,0.00103987
21,286511,0,0,0,0.00485,0.00999,0.00248,0.00056,3.68576,9.76145,3.17038,0.00100687,0.00100687,0.00100687
22,288152,0,0,0,0.00485,0.00999,0.00248,0.00056,3.67406,9.78514,3.19844,0.000973861,0.000973861,0.000973861
23,289809,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66455,9.84093,3.17136,0.000940855,0.000940855,0.000940855
24,291424,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66191,9.86262,3.16627,0.000907848,0.000907848,0.000907848
25,293034,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66332,9.88516,3.16069,0.000874842,0.000874842,0.000874842
26,294700,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66416,9.91532,3.16518,0.000841835,0.000841835,0.000841835
27,296369,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66529,9.93823,3.16456,0.000808828,0.000808828,0.000808828
28,297992,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66693,9.95762,3.15734,0.000775822,0.000775822,0.000775822
29,299683,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66805,9.97031,3.15355,0.000742815,0.000742815,0.000742815
30,301403,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66679,9.99902,3.15647,0.000709809,0.000709809,0.000709809
31,303022,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66345,10.0163,3.16062,0.000676802,0.000676802,0.000676802
32,304634,0,0,0,0.00485,0.00999,0.00248,0.00056,3.6635,10.036,3.15628,0.000643795,0.000643795,0.000643795
33,306282,0,0,0,0.00485,0.00999,0.00248,0.00056,3.67101,10.0444,3.15319,0.000610789,0.000610789,0.000610789
34,307855,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66696,10.0646,3.15646,0.000577782,0.000577782,0.000577782
35,309486,0,0,0,0.00485,0.00999,0.00248,0.00056,3.67408,10.0781,3.15005,0.000544776,0.000544776,0.000544776
36,311443,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66769,10.0982,3.15779,0.000511769,0.000511769,0.000511769
37,313430,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66846,10.1089,3.15254,0.000478762,0.000478762,0.000478762
38,315053,0,0,0,0.00485,0.00999,0.00248,0.00056,3.67152,10.1163,3.14871,0.000445756,0.000445756,0.000445756
39,316666,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66803,10.134,3.15263,0.000412749,0.000412749,0.000412749
40,318285,0,0,0,0.00485,0.00999,0.00248,0.00056,3.66968,10.1433,3.15159,0.000379743,0.000379743,0.000379743
41,319875,0,0,0,0.00485,0.00999,0.00248,0.00056,3.72899,10.0927,3.09223,0.000346736,0.000346736,0.000346736
42,321479,0,0,0,0.00485,0.00999,0.00248,0.00056,3.74122,10.0976,3.0877,0.000313729,0.000313729,0.000313729
43,323085,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73666,10.1019,3.08718,0.000280723,0.000280723,0.000280723
44,324730,0,0,0,0.00485,0.00999,0.00248,0.00056,3.74434,10.097,3.07735,0.000247716,0.000247716,0.000247716
45,326345,0,0,0,0.00485,0.00999,0.00248,0.00056,3.72914,10.1234,3.09184,0.00021471,0.00021471,0.00021471
46,327960,0,0,0,0.00485,0.00999,0.00248,0.00056,3.74709,10.1055,3.07203,0.000181703,0.000181703,0.000181703
47,329774,0,0,0,0.00485,0.00999,0.00248,0.00056,3.72462,10.1345,3.09087,0.000148696,0.000148696,0.000148696
48,331825,0,0,0,0.00485,0.00999,0.00248,0.00056,3.73122,10.1322,3.08699,0.00011569,0.00011569,0.00011569
49,333932,0,0,0,0.00485,0.00999,0.00248,0.00056,3.7421,10.1301,3.08451,8.26832e-05,8.26832e-05,8.26832e-05
50,335583,0,0,0,0.00485,0.00999,0.00248,0.00056,3.71853,10.1516,3.09843,4.96766e-05,4.96766e-05,4.96766e-05
